reporting_date|reporting_date_period_type|hierarchy_name|business_key1|business_key2|business_key3|business_key4|business_area|node_id_level1|node_name_level1|node_id_level2|node_name_level2|node_id_level3|node_name_level3|node_id_level4|node_name_level4|node_id_level5|node_name_level5|node_id_level6|node_name_level6|node_id_level7|node_name_level7|node_id_level8|node_name_level8|node_id_level9|node_name_level9
2017-05-30|1|Meijer Product Style Hierarchy|3855616||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000852|WOMENS TOPS DRESSES NON OB|L3-002779|KNIT WOVEN TOPS JR NON OB|L2-011642|TANK TOPS JR|PF - 1766 - TUNIC LE|PF - 1766 - TUNIC LENGTH CAMI||||
2017-05-30|1|Meijer Product Style Hierarchy|3855620||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000852|WOMENS TOPS DRESSES NON OB|L3-002779|KNIT WOVEN TOPS JR NON OB|L2-011642|TANK TOPS JR|PF - 1766 - TUNIC LE|PF - 1766 - TUNIC LENGTH CAMI||||
2017-05-30|1|Meijer Product Style Hierarchy|3855644||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000852|WOMENS TOPS DRESSES NON OB|L3-002779|KNIT WOVEN TOPS JR NON OB|L2-011642|TANK TOPS JR|PF - 72089 - SEAMLES|PF - 72089 - SEAMLESS CAMI||||
2017-05-30|1|Meijer Product Style Hierarchy|3870331||||product|0|ALL|L6-000009|SOFTLINES|L5-000040|JEWELRY AND ACCESSORIES|L4-000441|HANDBAGS|L3-001829|WOMENS HANDBAGS|L2-015216|HANDBAGS TOTE WMNS|ROSETTI THROWBACK TO|ROSETTI THROWBACK TOTE||||
2017-05-30|1|Meijer Product Style Hierarchy|3870930||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000851|WOMENS OB FC|L3-004138|BOTTOMS OB FC|L2-015892|LEGGINGS OB FC|C/S BLK|C/S BLK||||
2017-05-30|1|Meijer Product Style Hierarchy|3872179||||product|0|ALL|L6-000009|SOFTLINES|L5-000043|MENS|L4-000527|MENS ACTIVEWEAR|L3-002818|BOTTOMS ACTIVE MENS|L2-011887|SHORT ACTVWR MEN|-12563-|-12563-||||
2017-05-30|1|Meijer Product Style Hierarchy|3872183||||product|0|ALL|L6-000009|SOFTLINES|L5-000043|MENS|L4-000527|MENS ACTIVEWEAR|L3-002818|BOTTOMS ACTIVE MENS|L2-011887|SHORT ACTVWR MEN|-12563-|-12563-||||
2017-05-30|1|Meijer Product Style Hierarchy|3872452||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000851|WOMENS OB FC|L3-004138|BOTTOMS OB FC|L2-015892|LEGGINGS OB FC|C/S GREY|C/S GREY||||
2017-05-30|1|Meijer Product Style Hierarchy|3872460||||product|0|ALL|L6-000009|SOFTLINES|L5-000047|WOMENS|L4-000851|WOMENS OB FC|L3-004138|BOTTOMS OB FC|L2-015892|LEGGINGS OB FC|C/S GREY|C/S GREY||||
2017-05-30|1|Meijer Product Style Hierarchy|3877832||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS PERF GO RUN|SKECHERS PERF GO RUN 400||||
2017-05-30|1|Meijer Product Style Hierarchy|3877836||||product|0|ALL|L6-000009|SOFTLINES|L5-000058|SHOES|L4-000588|WOMENS FOOTWEAR|L3-002866|WOMENS DRESS CASUAL SHOES|L2-012099|FASHN SPORT SHOE WMN|SKECHERS PERF GO RUN|SKECHERS PERF GO RUN 400||||
